"Date";"Temp";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"C1";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E";"Es'";"sss"
"31.12.2019 21:00";"-38.7";"758.3";"769.5";"0.1";"73";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"";"-37.7";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-41.7";"0.3";"12";"";"";"";"";
"31.12.2019 18:00";"-38.8";"758.2";"769.5";"-0.1";"74";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-41.7";"";"";"";"";"";"";
"31.12.2019 15:00";"-37.7";"758.3";"769.5";"-0.5";"73";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-40.7";"";"";"";"";"";"";
"31.12.2019 12:00";"-38.5";"758.8";"770.0";"-1.1";"69";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-42.0";"";"";"";"";"";"";
"31.12.2019 09:00";"-40.9";"759.9";"771.2";"-0.6";"72";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно.  Диаметр изморозевого отложения составляет 31 мм.";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"-41.8";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-43.9";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"24.0";
"31.12.2019 06:00";"-41.2";"760.5";"771.9";"-0.8";"71";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-44.3";"";"";"";"";"";"";
"31.12.2019 03:00";"-41.6";"761.3";"772.7";"-1.0";"72";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-44.6";"";"";"";"";"";"";
"31.12.2019 00:00";"-41.6";"762.3";"773.7";"-1.6";"71";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-44.7";"";"";"";"";"";"";
"30.12.2019 21:00";"-40.9";"763.9";"775.3";"-1.1";"72";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"-40.1";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-43.9";"Следы осадков";"12";"";"";"";"";
"30.12.2019 18:00";"-40.4";"765.0";"776.3";"-1.1";"72";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Туман или ледяной туман или сильная мгла.";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-43.4";"";"";"";"";"";"";
"30.12.2019 15:00";"-40.6";"766.1";"777.5";"-1.4";"76";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман с отложением изморози, неба не видно. ";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-43.2";"";"";"";"";"";"";
"30.12.2019 12:00";"-41.6";"767.5";"779.0";"-1.5";"74";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-44.3";"";"";"";"";"";"";
"30.12.2019 09:00";"-42.1";"769.0";"780.5";"-0.9";"71";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Снег непрерывный слабый в срок наблюдения.  Диаметр изморозевого отложения составляет 30 мм.";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"-43.0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-45.2";"Следы осадков";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"24.0";
"30.12.2019 06:00";"-42.0";"769.9";"781.4";"-0.8";"71";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-45.1";"";"";"";"";"";"";
"30.12.2019 03:00";"-42.4";"770.7";"782.2";"-1.0";"71";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-45.5";"";"";"";"";"";"";
"30.12.2019 00:00";"-42.2";"771.7";"783.3";"-0.3";"71";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-45.3";"";"";"";"";"";"";
"29.12.2019 21:00";"-42.5";"772.0";"783.7";"-0.1";"70";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"";"-41.9";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"";"";"";"0.2";"-45.7";"Следы осадков";"12";"";"";"";"";
